,Channel,Year,Degree,Level,Nationality,Career,Crypto type,Crypto usage,Crypto knowledge,Duration,Trade performance,Remittance amount,Crypto knowledge source,Influenced family and friends,Intend to use crypto in future
0,online,2025,STEM,MSc,China,Legal,"BTC,DOGE","remittance,trans",+++,4-5,,50,friends,Y,Y
1,f2f,2022,STEM,1st,Turkey,Medical,,remittance,+++,1,,75,friends,Y,Y
2,online,2021,STEM,2nd,ME,,"BTC,ETH",trade,+,1,--,,marketing,Y,Y
3,online,2023,Business,PhD,China,Finance,BTC,"trade,remittance,trans",++,1-3,++,25,friends,Y,Y
4,f2f,2021,STEM,PhD,China,Technology,BTC,trade,+++,,+++,,study/research,Y,Y
5,online,2023,Humanities,1st,India,Medical,NFT,trade,+,1,--,,friends,Y,N
6,online,2020,Humanities,3rd,USA,Medical,"BTC,ALT",trade,+++,1,-,,friends,Y,N
7,online,2023,Business,3rd,USA,Public,"BTC,ALT",remittance,+++,4-5,,25,marketing,N,Y
8,online,2022,STEM,MSc,Turkey,Finance,"BTC,ETH","trade,remittance",+++,,+,25,family,N,Y
9,online,2020,Business,Phd,India,Technology,"ETH,NFT,ALT","remittance,trans",++,1,,50,study/research,Y,N
10,online,2023,Humanities,MSc,China,Retail,NFT,trade,++,1,--,,marketing,N,N
11,online,2020,STEM,1st,China,,"BTC,ETH",remittance,+,1,,100,friends,N,N
12,f2f,2023,Business,MSc,South America,Technology,ALT,"remittance,trans",+++,1,,25,family,Y,Y
13,f2f,2024,STEM,3rd,UK,Engineering,"BTC,NFT",trade,+++,1,++,,study/research,Y,N
14,online,2024,Business,MSc,Turkey,Finance,"BTC,ETH","trade,remittance,trans",+++,1-3,++,,family,Y,Y
15,online,2024,STEM,3rd,Turkey,Finance,ALT,"remittance,trans",++,,,75,study/research,Y,Y
16,f2f,2022,STEM,1st,USA,Retail,"BTC,NFT,DOGE",trade,+,1,--,,marketing,Y,N
17,online,2023,Business,1st,Africa,,"ETH,DOGE",trade,++,1-3,-,,marketing,Y,N
18,f2f,2024,Humanities,1st,Turkey,Legal,BTC,"remittance,trans",++,11,,50,study/research,Y,N
19,online,2020,Humanities,PhD,South America,,"BTC,ETH",remittance,++,,,25,marketing,Y,Y
20,f2f,2024,STEM,MSc,China,Engineering,ETH,trade,+++,4-5,,,friends,Y,Y
21,online,2021,Humanities,MSc,ME,Finance,ETH,trade,++,1-3,--,,marketing,Y,N
22,online,2020,Business,MSc,Africa,Engineering,BTC,"trade,remittance",++,5+,-,25,family,Y,Y
23,f2f,2023,STEM,PhD,USA,,BTC,remittance,+++,1-3,,25,marketing,N,N
24,online,2020,STEM,1st,ME,Finance,"NFT,ALT",trade,++,1-3,,,friends,Y,N
25,online,2020,Business,2nd,USA,Finance,"BTC,ETH",remittance,+++,,,100,study/research,Y,N
